index,"areas","lat","lon"
396,"Coimbatore",11.03,76.98
397,"Comorin, C.",8.05,77.67
398,"Conjeeveram/Kanchipuram",12.87,79.75
399,"Contai",21.9,87.77
400,"Cooch Behar/Koch Bihar",26.37,89.48
401,"Coondapoor",13.7,74.67
402,"Coromandel Coast",12.5,81
403,"Cuddalore",11.77,79.75
404,"Cuddapah",14.5,78.78
405,"Cumbum",15.67,79.17
406,"Cuttack",20.42,85.95
407,"Dabhoi",22.17,73.33
408,"Dadra & Nagar Haveli",20.08,73
409,"Dadri/Charkhi Dadri",28.62,76.28
410,"Dahod",22.83,74.25
411,"Dakor",22.75,73.18
412,"Dalhousie",32.63,75.97
413,"Dalmau",26.07,81.03
414,"Daltenganj",24,84.07
415,"Daman",20.42,72.95
416,"Damodar",23.28,87.58
417,"Damoh",23.83,79.47
418,"Dandell",15.08,74.5
419,"Dankhar Gompa",32.17,78.17
420,"Danta",24.18,72.77
421,"Dantan",21.95,87.33
422,"Darbhanga",26.25,85.92
423,"Darjeeling/Darjiling",27.05,88.3
424,"Darjiling",27.05,88.3
425,"Darwha",20.25,77.75
426,"Dasuya",31.82,75.63
427,"Datia",25.65,78.45
428,"Daudnagar",25.03,84.4
429,"Daulpur",26.75,77.98
430,"Dausa",26.87,76.33
431,"Davangere",14.42,75.92
432,"Deccan",18,79
433,"Dechhu",26.77,72.33
434,"Dechhu",26.77,72.33
435,"Degana",26.83,74.33
436,"Dehej",21.73,72.67
437,"Dehra Dun",30.33,78.07
438,"Dehri",24.83,84.25
439,"Delhi",28.63,77.28
440,"Delvada",20.77,71.03
441,"Demchok",32.7,79.48
442,"Deoband",29.7,77.72
443,"Deogarh",25.53,73.9
444,"Deoghar",24.5,86.7
445,"Deolali",19.97,73.83
446,"Deoli/Devli",25.83,75.33
447,"Deora",26.37,70.92
448,"Deori",23.4,79.02
449,"Deoria",26.52,83.8
450,"Deosri",26.77,90.48
451,"Depalpur",22.85,75.55
452,"Dergaon",26.75,94
453,"Deshnok",27.8,73.35
454,"Desuri",25.3,73.58
455,"Devakottai",9.92,78.75
456,"Devaprayag",30.22,78.58
457,"Devgadh Bariya",22.67,73.92
458,"Devikot",26.7,71.2
459,"Devil",25.83,75.33
460,"Dewas",22.98,76.05
461,"Dhadhar",24.93,85.4
462,"Dhampur",29.32,78.55
463,"Dhamtari",20.7,81.58
464,"Dhanbad",23.83,86.5
465,"Dhar",22.58,75.43
466,"Dharampur",22.22,75.3
467,"Dharamsala/Dharmsala",32.27,76.38
468,"Dhariwal",31.95,75.32
469,"Dharmapuri",12.17,78.17
470,"Dharmjaygarh",22.47,83.22
471,"Dharmsala",32.27,76.38
472,"Dharni",21.55,76.88
473,"Dharwad",15.5,75.07
474,"Dhasan",25.8,79.4
475,"Dhebar, L.",24.17,74
476,"Dhenkanal",20.75,85.58
477,"Dhilwan",31.52,75.35
478,"Dhimarkhera",23.47,80.37
479,"Dholka",22.73,72.48
480,"Dhoraji",21.75,70.62
481,"Dhrangadhra",22.98,71.52
482,"Dhrol",22.55,70.42
483,"Dhuburi",26.03,89.98
484,"Dhule",20.97,74.83
485,"Diamond Harbour",22.18,88.23
486,"Dibai",28.22,78.25
487,"Dibrugarh",27.48,94.92
488,"Didwana",27.38,74.6
489,"Dig",27.47,77.33
490,"Diggi",26.37,75.43
491,"Dihang/Brahmaputra",27.8,95.5
492,"Dinapur",25.63,85.08
493,"Dindigul",10.42,78
494,"Dindori",22.95,81.08
495,"Disa",24.3,72.17
496,"Diu",20.75,70.97
497,"Diyodar",24.13,71.83
498,"Doda",33.17,75.57
499,"Dohrighat",26.27,83.52
500,"Domariaganj",26.28,83.73
501,"Dras",34.42,75.8
502,"Dubrajpur",23.8,87.42
503,"Dudhi",24.25,83.17
504,"Dudwa",28.5,80.68
505,"Dum Dum",22.65,88.55
506,"Dum Duma",27.67,95.67
507,"Dumka",24.2,87.25
508,"Dumraon",25.55,84.13
509,"Dunagiri",30.52,79.87
510,"Dungarpur",23.87,73.75
511,"Durg",21.25,81.37
512,"Durgapur",23.5,87.33
513,"Dwarka",22.3,69.13
514,"Easter Ghats",14,78.83
516,"Elore/Eluru",16.8,81.13
517,"Eluru",16.8,81.13
518,"English Bazar/Ingraj Bazar",24.97,88.17
519,"Erinpura",25.15,73.05
520,"Erode",11.4,77.75
521,"Errampala Hills",15.5,78.25
522,"Etah",27.58,78.67
523,"Etawah",26.8,79.1
524,"Faizabad",26.75,82.17
525,"Faridabad",28.43,77.32
526,"Faridkot",30.73,74.75
527,"Faridpur",28.22,79.55
528,"Fatehabad, Haryana",29.52,75.45
529,"Fatehabad, Ut. P.",27.02,78.32
530,"Fatehgarh",27.42,79.58
531,"Fatehpur, Bihar",24.63,85.23
532,"Fatehpur, Raj.",28,74.67
533,"Fatehpur, Ut. P.",25.93,81.22
534,"Fatehpur, Ut. P.",27.17,81.22
535,"Fatehpur Sikri",27.1,77.67
536,"Fazilka",30.45,74.03
537,"Ferozepore/Fiozpur",30.92,74.67
538,"Firozabad",27.17,78.42
539,"Firozpur",30.92,74.67
540,"Firozpur-Jhirka",27.8,76.95
541,"Forbesganj",26.28,87.3
542,"Gadag",15.5,75.75
543,"Gadarwara",22.83,78.83
544,"Gadhada",22,71.58
545,"Gadwal",16.17,77.83
546,"Gagaria",25.72,70.77
547,"Gahmar",25.45,83.82
548,"Gambhir",26.97,77.45
549,"Gandak",25.65,85.22
550,"Gandhi Sagar",24.67,75.67
551,"Gandhinagar",23.25,72.75
552,"Ganga",23.33,90.5
553,"Ganga Sagar",21.63,88.08
554,"Gangan",28.63,78.97
555,"Ganganagar",29.93,73.93
556,"Gangapur",26.53,76.82
557,"Ganges/Ganga",23.33,90.5
558,"Ganges, Mouths of the",21.5,90
559,"Gangoh",29.77,77.3
560,"Gangroti",30.83,79.17
561,"Gangtok",27.33,88.62
562,"Ganj",27.75,78.95
563,"Gapat",24.5,82.47
564,"Garautha",25.57,79.3
565,"Garbiyan",30.13,80.9
566,"Garo Hills",25.5,90.5
567,"Garot",24.32,75.68
568,"Garrauli",25.08,79.37
569,"Garu",23.67,84.23
570,"Garwa",24.18,83.78
571,"Gauhati/Guwahati",26.17,91.75
572,"Gauri Phanta",28.68,80.6
573,"Gawilgarh Hills",21.25,76.75
574,"Gaya",24.78,85.07
575,"Ghaggar",29.5,74.88
576,"Ghaghara",25.75,84.67
577,"Ghagra",23.28,84.55
578,"Ghagra",27.48,81.15
579,"Ghansor",22.65,80.02
580,"Ghatal",22.67,87.77
581,"Ghatampur",26.13,80.22
582,"Ghatsila",22.6,86.48
583,"Ghaziabad",28.7,77.43
584,"Ghazipur",25.63,83.58
585,"Ghotaru",27.33,70.02
586,"Ghughri",22.65,80.68
587,"Ghugus",19.97,79.2
588,"Gilgit",35.83,74.25
589,"Gir Hills",21,71
590,"Girab",26.03,70.63
