index,"areas","lat","lon"
1548,"Tellicherry",11.75,75.5
1549,"Tenali",16.25,80.58
1550,"Tendukhera",23.4,79.55
1551,"Tenkasi",8.92,77.33
1552,"Tezpur",26.67,92.75
1553,"Than",22.57,71.18
1554,"Thanjavur",10.8,79.2
1555,"Thar Desert",28,72
1556,"Tharad",24.5,71.73
1557,"Tikamgarh",24.73,78.83
1558,"Tinnevelly/Tirunelveli",8.75,77.75
1559,"Tinpahar",24.98,87.73
1560,"Tipongpani",27.33,95.92
1561,"Tirodi",21.67,79.73
1562,"Tiruchchirappalli",10.75,78.75
1563,"Tirunelveli",8.75,77.75
1564,"Tirupati",13.65,79.42
1565,"Tiruppur",11.08,77.37
1566,"Tiruvannamalai",12.25,79.08
1567,"Tisa",32.83,76.15
1568,"Todgarh",25.7,73.97
1569,"Tonk",26.1,75.9
1570,"Tons, Haryana",30.5,77.65
1571,"Tons , Ut.P.",26.02,83.55
1572,"Torpa",22.95,85.1
1573,"Towang",27.62,91.83
1574,"Trichur",10.5,76.3
1575,"Tripura",24,92
1576,"Trishul",30.32,79.78
1577,"Trivandrum",8.68,77
1578,"Tso Moriri L.",32.83,78.33
1579,"Tuna",22.98,70.08
1580,"Tundla",27.2,78.28
1581,"Tuticorin",8.83,78.2
1582,"Udagamandalam",11.5,76.73
1583,"Udainagar",22.55,76.22
1584,"Udaipur",24.6,73.73
1585,"Udala",21.58,86.57
1586,"Udgir",18.42,77.08
1587,"Udhampur",33,75.08
1588,"Udupi",13.42,74.7
1589,"Ujh",32.17,75.3
1590,"Ujhani",28,79.1
1591,"Ukki Fort",33.47,76.9
1592,"Umaria",23.58,80.83
1593,"Umreth",22.68,73.07
1594,"Una",2.77,71.13
1595,"Unnao",26.58,80.5
1596,"Upleta",21.77,70.27
1597,"Upshi",33.8,77.87
1598,"Utraula",27.32,82.42
1599,"Uttar Pradesh",27,80
1600,"Uttaranchal",30,79.5
1601,"Vadnagar",22.33,73.17
1602,"Vadodara",22.33,73.17
1603,"Vaisali",26.47,78.88
1604,"Valsad",20.67,72.97
1605,"Varanasi",25.37,83
1606,"Vatrak",23.15,73.03
1607,"Vav",24.37,71.52
1608,"Velikonda Range",14.75,79.17
1609,"Vellore",12.95,79.17
1610,"Venguria",15.88,73.75
1611,"Venkatapuram",18.33,80.5
1612,"Veraval",20.88,70.45
1613,"Victor",42.97,77.4
1614,"Vidisha",23.47,77.88
1615,"Vijayawada",16.52,80.65
1616,"Vindhya Ra.",22.83,77
1617,"Viramgam",23.08,72
1618,"Virpur",21.85,70.7
1619,"Virudunagar",9.5,77.97
1620,"Vishakhapatnam",17.75,83.33
1621,"Visnagar",23.75,72.53
1622,"Vizianagaram",18.1,83.5
1623,"Vrindavan",27.62,77.67
1624,"Wankaner",22.58,71
1625,"Warangal",17.97,79.58
1626,"Waraseoni",21.75,80.03
1627,"Wardha",19.95,79.18
1628,"Washim",20.05,77
1629,"West Bengal",23,88
1630,"Western Ghats",14,75
1631,"Wular L.",34.33,74.5
1632,"Yadgir",16.75,77.08
1633,"Yamuna",25.5,81.88
1634,"Yamunagar",30.12,77.28
1635,"Yavatmal",20.33,78.25
1636,"Zaskar Mts.",33.25,77.5
